Artikelname;EAN;SKU;Brand;MwSt;EK netto;empfl. VK brutto;Inhalt;Beschreibung;Anwendung;INCI
ORMEDIC® balancing bio-peptide crème;819984014978;OEU-202N;IMAGE Skincare;19;42,00 €;84,00 €;57 g;"Aufpolsternde Nachtcrème, die dehydrierte Haut mit botanischen Butterarten, Hyaluronsäure und zertifizerten organischen
Pflanzenölen versorgt und ein gesund aussehendes, strahlend schönes Hautbild fördert.";Abends auf die gereinigte Haut auftragen.;"Aloe Barbadensis Leaf Juice*, Aqua/Water/Eau, Glycerin, Vitis Vinifera (Grape) Fruit Water*, Olea Europaea Fruit Oil*, Prunus Armeniaca (Apricot) Kernel Oil*, Glyceryl Stearate, Cetearyl
Alcohol, Stearic Acid, Simmondsia Chinensis (Jojoba) Seed Oil*, Dimethicone, Panthenol, Phenyl Trimethicone, Citrus Aurantium Dulcis (Orange) Peel Oil, Sodium Acrylate/Sodium
Acryloyldimethyl Taurate Copolymer, Butyrospermum Parkii (Shea) Butter, Mangifera Indica (Mango) Seed Butter, Tocopheryl Acetate, Vitis Vinifera (Grape) Seed Oil*, Isohexadecane,
Hydroxydecyl Ubiquinone, Polysorbate 80, Xanthan Gum, Caprylic/Capric Triglyceride, Cetyl Palmitate, Lactic Acid, Ethylhexylglycerin, Allantoin, Ascorbyl Palmitate, Tetrahexyldecyl
Ascorbate, Aminomethyl Propanol, Sorbitan Stearate, Sorbitan Oleate, Citric Acid, Citrus Paradisi (Grapefruit) Peel Oil, Citrus Nobilis (Mandarin Orange) Peel Oil, Camellia Sinensis (Green
Tea) Leaf Extract, Palmitoyl Tripeptide-5, Sodium Hyaluronate, Arctium Lappa (Burdock) Root Extract, Calendula Officinalis (Pot Marigold) Flower Extract, Curcuma Longa (Turmeric)
Root Extract, Nelumbo Nucifera (Sacred Lotus) Flower Extract, Tamarindus Indica Fruit Extract, Trifolium Pratense (Clover) Flower Extract, Vanilla Planifolia Fruit, Hydrogenated Lecithin,
Tocopherol, Palmitoyl Tetrapeptide-10, Phenoxyethanol, Sodium Benzoate, Potassium Sorbate, Limonene.
*Certified Organic"
ORMEDIC® balancing gel masque;819984014954;O-303;IMAGE Skincare;19;24,00 €;48,00 €;59 ml;Ultrasanfte, ausgleichende Gelmaske zur sofortigen Besänftigung und Erfrischung delikater, trockener und müder Haut.;"Großzügig auf die gereinigte Haut auftragen und 5-30 Minuten einwirken lassen. Mit warmem Wasser abspülen.
1-3 Mal wöchentlich oder nach Bedarf anwenden.";"Water/Aqua/Eau, Aloe Barbadensis Leaf Juice*, Glycerin, Vitis Vinifera (Grape) Fruit Water*, Saccharomyces/Xylinum/Black Tea Ferment, Sodium Carbomer, Polysorbate 20,
Ophiopogon Japonicus Root Extract, Caprylic/Capric Triglyceride, Dipotassium Glycyrrhizate, Maltodextrin, Ethylhexylglycerin, Copper PCA, Camellia Sinensis (Green Tea) Leaf Extract*,
Tetrasodium Glutamate Diacetate, Opuntia Ficus-Indica Stem Extract, Arctium Lappa (Burdock) Root Extract*, Calendula Officinalis (Pot Marigild) Flower Extract*, Citrus Aurantium
Dulcis (Orange) Fruit Extract, Citrus Limon (Lemon) Peel Extract, Curcuma Longa (Turmeric) Root Extract*, Juniperus Virginiana (Virginia Red Cedar) Wood Extract, Musa Sapientum
(Plantain) Fruit Extract, Nelumbo Nucifera (Sacred Lotus) Flower Extract*, Prunus Armeniaca (Apricot) Fruit Extract, Pyrus Malus (Apple) Fruit Extract, Tamarindus Indica Fruit Extract*,
Trifolium Pratense (Clover) Flower Extract*, Ananas Sativus (Pineapple) Fruit Extract, Butter Extract, Citrus Paradisi (Grapefruit) Fruit Extract, Cocos Nucifera (Coconut) Fruit Extract,
Coffea Arabica (Arabian Coffee) Leaf/Seed Extract, Cucumis Melo (Melon) Fruit Extract, Fragaria Chiloensis (Strawberry) Fruit Extract, Prunus Amygdalus Dulcis (Sweet Almond) Fruit
Extract, Rubus Idaeus (Raspberry) Fruit Extract, Vanilla Planifolia (Vanilla) Fruit Extract, Tocopherol, Citric Acid, Sodium Hydroxide, Sodium Glycolate, Sodium Formate, Phenoxyethanol,
Potassium Sorbate, Sodium Benzoate, Amyl Cinnamal, Limonene.
*Certified Organic."
ORMEDIC® balancing eye lift gel;819984014992;O-304;IMAGE Skincare;19;28,00 €;56,00 €;15 ml;"Erfrischendes Augengel zur Besänftigung und Beruhigung der delikaten Hautpartie und Augenschwellungen.
Der enthaltene Quinoaextrakt enthält ein natürliches Peptid, das sichtbar Schwellungen reduziert und die Haut geschmeidig
und versorgt hinterlässt.";"Eine erbsengroße Menge auf die Haut unter den Augen, die äußeren Augenwinkel und die Brauenknochen einklopfen.
Morgens und abends anwenden.";"Aloe Barbadensis Leaf Juice*, Aqua/Water/Eau, Glycerin, Vitis Vinifera (Grape) Fruit Water*, Olea Europaea Fruit Oil*, Polyglyceryl-10 Pentaisostearate, Dimethicone, Propanediol,
Polysorbate 20, Aminomethyl Propanol, Ceteareth-20, Steareth-21, Beta Vulgaris (Beet) Root Extract, Carbomer, Caprylyl Glycol, Cetyl Esters, Accharomyces/Xylinum/Black Tea
Ferment, Acrylates/Cl 0-30 Alkyl Acrylate Crosspolymer, Chenopodium Quinoa Seed Extract, Pentylene Glycol, Hesperidin Methyl Chalcone, Ethylhexylglycerin, Steareth-20 , Citric Acid,
Hydroxypropyl Cyclodextri N, Tetrasodi Um Glutamate Diacetate, Sodium Hyaluronate Crosspolymer, Biosaccharide Gum-1, Arctium Lappa (Burdock) Root Extract*, Calendula Officinalis
(Pot Marigold) Flower Extract*, Camellia Sinensis (Green Tea) Leaf Extract*, Curcuma Longa (Turmeric) Root Extract*, Nelumbo Nucifera (Sacred Lotus) Flower Extract*, Tamarindus
Indica Fruit Extract*, Trifolium Pratense (Clover) Flower Extract*, Sodium Hyaluronate, Haberlea Rhodopensis Leaf Extract, Palmitoyl Tripeptide-5, Yeast Extract, Hydroxyethylcellulose,
Dipeptide-2, Palmitoyl Tripeptide-38, Malus Domestica Fruit Cell Culture Extract, Tocopherol, Palmitoyl Tetrapeptide-7, Xanthan Gum, Lecithin, Biotin, Phenoxyethanol, Sodium
Benzoate, Chlorhexidine Digluconate, Potassium Sorbate, Sodium Citrate, Sodium Hydroxide, Sodium Glycolate, Sodium Formate.
*Certified Organic."
ORMEDIC® balancing lip enhancement complex;819984014985;O-205N;IMAGE Skincare;19;14,00 €;28,00 €;7 g;Ein beruhigendes Lippenprodukt, das das Feuchtigkeitsgehalt und das Aussehen des Lippenvolumens verbessert.;Morgens und abends oder je nach Bedarf auf die Lippen auftragen.;"Hydrogenated Polyisobutene, Ethylene/Propylene/Styrene Copolymer, Persea Gratissima (Avocado) Oil, Phenyl Trimethicone, Pentaerythrityl Tetraisostearate, Ethylhexyl Palmitate,
Butylene/Ethylene/Styrene Copolymer, Silica Dimethyl Silylate, Butylene Glycol, Pentylene Glycol, Sodium Chondroitin Sulfate, Atelocollagen, Tribehenin, Sorbitan Isostearate, Palmitoyl
Tripeptide-1, PPG-12/SMDI Copolymer, Diisopropyl Dimer Dilinoleate, Pentaerythrityl Tetra-Di-t-Butyl Hydroxyhydrocinnamate, Lactic Acid, Tocopheryl Acetate, Tocopherol, Oryzanol,
Ubiquinone, Mica, Limonene, Linalool, Aroma, [+/- CI 77891]"
ORMEDIC® CARE FOR SKIN sheer pink lip enhancement complex;819984015005;O-206N;IMAGE Skincare;19;14,00 €;28,00 €;7 g;"Stark feuchtigkeitsspendender und potenter Multipeptid-Komplex zur Verbesserung des Aussehens und des Volumens der
Lippen und deren Konturen. Kann den Feuchtigkeitsgehalt bei wiederholter Anwendung um bis zu 40 % steigern und reduziert
kleine Fältchen und Linien, sowie Entzündungen nach Lippenunterspritzungen. Verleiht den Lippen mit Hilfe des Minerals Mica
einen zarten rosa Schimmer.
Special Edition der CARE FOR SKIN Foundation:
Die CARE FOR SKIN Foundation ist eine Non-Profit-Organisation, die 2011 von Dr. Marc Ronert, dem Präsidenten und Medical
Director von IMAGE Skincare, initiiert wurde.
Sie hilft Menschen, die durch Unfälle oder andere tragische Ereignisse Hautentstellungen erlitten haben.
Insbesondere bei Kindern werden kostenlose Operationen durchgeführt, für die die finanziellen Mittel fehlen.
Jeder Kauf des CARE FOR SKIN sheer pink lip enhancement complexes unterstützt automatisch die CARE FOR SKIN
Foundation.";Morgens und abends oder je nach Bedarf auf die Lippen auftragen.;"Hydrogenated Polyisobutene, Ethylene/Propylene/Styrene Copolymer, Persea Gratissima (Avocado) Oil, Phenyl Trimethicone, Pentaerythrityl Tetraisostearate, Ethylhexyl Palmitate,
Ppg-12/Smdi Copolymer, Tribehenin, Butylene/Ethylene/Styrene Copolymer, Diisopropyl Dimer Dilinoleate, Aroma, Tocopheryl Acetate, Mica, Limonene, Titanium Dioxide (Ci 77891),
Silica Dimethyl Silylate, Sorbitan Isostearate, Butylene Glycol, Pentylene Glycol, Sodium Chondroitin Sulfate, Pentaerythrityl Tetra-Di-T-Butyl Hydroxyhydrocinnamate, Atelocollagen,
Caesalpinia Sappan Bark Extract, Tocopherol, Linalool, Citral, Tin Oxide, Palmitoyl Tripeptide-1, Oryzanol, Ubiquinone."
ORMEDIC® balancing gel polisher;819984014961;O-307;IMAGE Skincare;19;24,00 €;48,00 €;91 g;"Ein exfolierendes Gel, das enzymatische Säuren und physische Exfoliation vereint. Für den täglichen Gebrauch entwickelt.
Beinhaltet “smart sensing” und umweltfreundliche Exfoliatioren, die sich während der Massage auflösen und die Haut zart
hinterlassen.";"Auf die angefeuchtete Haut auftragen und 1 Minute lang einmassieren, anschließend mit kühlem Wasser abspülen.
Morgens und abends anwenden.";"Aqua/Water/Eau, Aloe Barbadensis Leaf Juice*, Vitis Vinifera (Grape) Fruit Water*, Propanediol, Glycerin, Cellulose, Polysorbate 20, Lactobacillus/Punica Granatum Fruit Ferment
Extract, Carbomer, Aminomethyl Propanol, Caprylic/Capric Triglyceride, Xylitol, Hydrolyzed Verbascum Thapsus Flower, Ethylhexylglycerin, Olea Europaea (Olive) Seed Powder,
Camellia Sinensis (Green Tea) Leaf Extract*, Citric Acid, Polygonum Fagopyrum (Buckwheat) Flour, Copper PCA, Microcitrus Australasica Fruit Extract, Hydrogenated Castor Oil,
Simmondsia Chinensis (Jojoba) Seed Extract, Citrus Aurantium Dulcis (Orange) Fruit Extract, Citrus Limon (Lemon) Peel Extract, Juniperus Virginiana Wood (Virginia Red Cedar)
Extract, Musa Sapientum (Plantain) Fruit Extract, Prunus Armeniaca (Apricot) Fruit Extract, Pyrus Malus (Apple) Fruit Extract, Biosaccharide Gum-1, Arctium Lappa (Burdock) Root
Extract*, Calendula Officinalis (Pot Marigold) Flower Extract*, Curcuma Longa (Turmeric) Root Extract*, Leuconostoc/Radish Root Ferment Filtrate, Nelumbo Nucifera (Sacred Lotus)
Flower Extract*, Tamarindus Indica Fruit Extract*, Trifolium Pratense (Clover) Flower Extract*, Sodium Levulinate, Glyceryl Caprylate, Algin, Ananas Sativus (Pineapple) Fruit Extract,
Butter Extract, Citrus Paradisi (Grapefruit) Fruit Extract, Cocos Nucifera (Coconut) Fruit Extract, Coffea Arabica (Arabian Coffee) Leaf/Seed Extract, Cucumis Melo (Melon) Fruit Extract,
Fragaria Chiloensis (Strawberry) Fruit Extract, Prunus Amygdalus Dulcis (Sweet Almond) Fruit Extract, Rubus Idaeus (Raspberry) Fruit Extract, Vanilla Planifolia (Vanilla) Fruit Extract,
Tocopherol, Phenoxyethanol, Potassium Sorbate, Sodium Benzoate, Sodium Anisate, Amyl.
*Certified Organic."
ILUMA™ intense brightening exfoliating cleanser;819984016415;IL-200;IMAGE Skincare;19;19,00 €;38,00 €;113 g;"Sanfter Gesichtsreiniger, der Unreinheiten entfernt und den Hautton sichtbar ausgleicht sowie die Haut effektiv reinigt. Bambussphären
und „Smart Sensing“ Körnchen entfernen abgestorbene Hautzellen und bringen einen gleichmäßigeren
und ausgeglicheneren Teint zum Vorschein.";"Auf die feuchte Haut auftragen und eine Minute einmassieren. Gründlich entfernen.
Für beste Resultate ist die Anwendung morgens und abends empfohlen.";"Aqua/Water/Eau, Sodium Cocoyl Glycinate, Glycerin, Cellulose, Propanediol, Acrylates/Palmeth-25 Acrylate Copolymer, Cocoglucoside, Phenoxyethanol, Butylene Glycol,
Cocamidopropyl Betaine, Xylitol, Kaolin, Cocos Nucifera Fruit Powder, Oryza Sativa, Bran Water, Titanium Dioxide (Ci 77891), Tapioca Starch, Mucor Miehei Extract, Citrus Aurantium
Dulcis (Orange) Peel Oil, Pelargonium Graveolens (Geranium) Flower Oil, Sodium Lauroyl Sarcosinate, Limonene, Sodium Methyl Cocoyl Taurate, Ethylhexylglycerin, Microcrystalline
Cellulose, Citronellol, Polyquaternium-7, Decyl Glucoside, Hydrogenated Castor Oil, Iron Oxides (Ci 77492), Simmondsia Chinensis (Jojoba) Seed Oil, Sodium Citrate, Geraniol,
Linalool, Silica, Ultramarines (Ci 77007), Epilobium Angustifolium Flower/Leaf/Stem Extract, Sodium Benzoate, Potassium Sorbate, Tetrasodium Edta, Camellia Sinensis Leaf Extract,
Salix Nigra (Willow) Bark Extract, Algin, Glycyrrhiza Glabra (Licorice) Root Extract, Paeonia Albiflora Flower Extract, Panax Ginseng Root Extract, Disodium Edta, Sodium Metabisulfite,
Sodium Hydroxide."
ILUMA™ intense brightening body lotion;819984011601;IL-201;IMAGE Skincare;19;32,00 €;64,00 €;170 g;"Diese neuartige, intensiv aufhellende Körperlotion sorgt für eine deutliche Verbesserung des Teints.
Sie enthält einen exklusiven Aufhellungskomplex, der Hautverfärbungen, Altersflecken und Hyperpigmentierung ausgleicht.";"Nach der gründlichen Reinigung und Exfoliation (Peeling) auf die Körperstellen auftragen.
Sollte nicht im Gesicht angewendet werden.";"Aqua/Water/Eau, Caprylic/Capric Triglyceride, Glycerin, Butylene Glycol Dicaprylate/Dicaprate, Cetearyl Alcohol, Cetyl Alcohol, Hydroxypropyl Starch Phosphate, Dimethicone,
Glyceryl Stearate, Peg-100 Stearate, Ppg-12/Smdi Copolymer, Alcohol Denat. (Sd Alcohol 40-B), Aminomethyl Propanol, Bellis Perennis (Daisy) Flower Extract, Bidens Pilosa Extract,
Caprylyl Glycol, Ceteth-10 Phosphate, Citrus Sinensis Peel Oil Expressed, Curcuma Longa (Turmeric) Root Extract, Dicetyl Phosphate, Disodium Phosphate, Elaeis Guineensis (Palm) Oil,
Ethylhexylglycerin, Glycyrrhiza Glabra (Licorice) Root Extract, Gossypium Herbaceum (Cotton) Seed Oil, Hexylene Glycol, Hippophae Rhamnoides Fruit Oil, Limonene, Linalool, Linum
Usitatissimum (Linseed) Seed Oil, Melissa Officinalis Leaf Extract, Methyl Undecylenoyl Dipeptide-16, Phenethyl Alcohol, Phenoxyethanol, Pueraria Tuberosa Leaf Cell Extract, Pyruvic
Acid, Stearic Acid, Tocopherol, Tocopheryl Acetate, Xanthan Gum."
ILUMA™ intense brightening serum;819984011564;IL-302;IMAGE Skincare;19;29,00 €;58,00 €;27 ml;"Eine Mischung aus pflanzlichen Aufhellern, Vitamin C und Traubenkernextrakt lindert sanft Irritationen und fördert einen
klaren, frischen Teint. Beruhigt die Haut zuverlässig nach kosmetischen Behandlungen, Laseranwendungen und Epilationen.
Ideal für alle Hauttypen.";Morgens und abends auf die gereinigte Haut auftragen.;"Aqua/Water/Eau, Butylene Glycol, Glycerin, Sodium Polystyrene Sulfonate, Polysorbate 20, Citrus Unshiu Peel Extract, Dimethicone Peg-8 Meadowfoamate, Sodium Ascorbyl
Phosphate, Phenoxyethanol, Hydrogenated Lecithin, Morus Alba (White Mulberry) Leaf Extract, Centella Asiatica Extract, Decyl Glucoside, Xanthan Gum, Caprylic/Capric Triglyceride,
Acrylates/C10-30 Alkyl Acrylate Crosspolymer, Ascorbic Acid, Rumex Occidentalis Extract, Echinacea Purpurea Extract, Ethylhexylglycerin, Limonene, Dipotassium Glycyrrhizate, Lauryl
Glucoside, Citrus Tangerina (Tangerine) Peel Extract, Arctostaphylos Uva Ursi Leaf Extract, Artemisia Vulgaris Extract, Laminaria Digitata Extract, Magnesium Ascorbyl Phosphate,
Phyllanthus Emblica Fruit Extract, Prunus Armeniaca (Apricot) Fruit Extract, Sodium Benzoate, Citrus Aurantium Dulcis (Orange) Fruit Extract, Citrus Grandis (Grapefruit) Peel Extract,
Vanilla Planifolia Fruit Extract, Chlorella Vulgaris Extract, Cocos Nucifera (Coconut) Fruit Extract, Pimpinella Anisum (Anise) Fruit Extract, Rubus Idaeus (Raspberry) Fruit Extract, Citrus
Aurantium Dulcis (Orange) Peel Extract, Camellia Sinensis (Green Tea) Leaf Extract, Pyruvic Acid, Citrus Grandis (Grapefruit) Fruit Extract, Lavandula Angustifolia (Lavender) Flower/
Leaf/Stem Extract, Pyrus Malus (Apple) Fruit Extract, Linalool, Azelaic Acid, Sodium Metabisulfite, Corallina Officinalis Extract, Ananas Sativus (Pineapple) Fruit Extract, Anthemis Nobilis
Flower Extract, Salix Nigra (Willow) Bark Extract, Citrus Aurantifolia (Lime) Peel Extract, Mangifera Indica (Mango) Fruit Extract, Rubus Idaeus (Raspberry) Leaf Extract, Potassium
Sorbate, Sodium Citrate, Calendula Officinalis (Pot Marigold) Flower Extract, Glycyrrhiza Glabra (Licorice) Root Extract, Citric Acid, Sodium Hydroxide, Biotin."
ILUMA™ intense brightening crème;819984011595;IL-204;IMAGE Skincare;19;49,50 €;99,00 €;48 g;"Diese neuartige, intensive Aufhellungscrème lässt Altersflecken und Hyperpigmentierungen effektiv verblassen.
Enthält einen exklusiven Aufhellungskomplex, der Hautverfärbungen ausgleicht und die Haut auffrischt – für einen gesunden,
jugendlichen und strahlenden Teint.";Abends nach der Reinigung auf Gesicht und Dekolleté auftragen und einmassieren.;"Aqua/Water/Eau, Caprylic/Capric Triglyceride, Bellis Perennis (Daisy) Flower Extract, Tetrahexyldecyl Ascorbate, Glycerin, Butylene Glycol Dicaprylate/Dicaprate, Cetearyl Alcohol,
Cetyl Alcohol, Dimethicone, Elaeis Guineensis (Palm) Oil, Glyceryl Stearate, Peg-100 Stearate, Gossypium Herbaceum (Cotton) Seed Oil, 3-O-Ethyl Ascorbic Acid, Alcohol Denat.
(Sd Alcohol 40-B), Aminomethyl Propanol, Bidens Pilosa Extract, Caprylyl Glycol, Ceteth-10 Phosphate, Citral, Citrus Grandis (Grapefruit) Peel Oil, Curcuma Longa (Turmeric) Root
Extract, Dicetyl Phosphate, Disodium Phosphate, Ergothioneine, Ethylhexylglycerin, Glycyrrhiza Glabra (Licorice) Root Extract, Hexylene Glycol, Hippophae Rhamnoides Fruit Oil,
Hydroxyethyl Acrylate/Sodium Acryloyldimethyl Taurate Copolymer, Lecithin, Lepidium Sativum Sprout Extract, Limonene, Linum Usitatissimum (Linseed) Seed Oil, Melissa Officinalis
Leaf Extract, Methyl Undecylenoyl Dipeptide-16, Phenethyl Alcohol, Phenoxyethanol, Polysorbate 60, Ppg-12/Smdi Copolymer, Sorbitan Isostearate, Squalane, Stearic Acid, Tocopherol,
Tocopheryl Acetate, Xanthan Gum."
ILUMA™ intense brightening exfoliating powder;819984012165;IL-206;IMAGE Skincare;19;22,50 €;45,00 €;43 g;"Ein einzigartiges exfolierendes Puder, das sanft die obersten, abgestorbenen Hautzellen abträgt.
Die extrem feine mikroexfolierende Mischung entfernt Ablagerungen und ölige Rückstände der Poren, während es die Haut
mit langanhaltender Feuchtigkeit versorgt. Enthält eine gänzlich neue Generation aus pflanzlichen Wirkstoffen, Enzymen und
Antioxidantien, die die Haut zum Strahlen bringen.";"Eine kleine Menge des Puders mit Wasser oder einem beliebigen IMAGE-Reiniger mischen und 1 Minute einmassieren.
Mit Wasser entfernen. Kann auch als Körperpeeling benutzt werden. Anwendung morgens und abends empfohlen.";"Cocos Nucifera (Coconut) Fruit Powder, Potassium Myristate, Sodium Bicarbonate, Sodium Lauryl Sulfoacetate, Oryza Sativa (Rice) Starch, Sodium Sesquicarbonate, 3-O-Ethyl Ascorbic
Acid, Sodium Chloride, Sodium Sulfate, Dimethyl Sulfone, Aqua/Water/Eau, Triethyl Citrate, Bromelain, Camellia Sinensis (Green Tea) Leaf Extract, Carbomer/Papain Crosspolymer,
Citrus Aurantium Dulcis (Orange) Peel Extract, Citrus Tangerina (Tangerine) Peel Extract, Dipotassium Glycyrrhizate, Glycerin, Lactic Acid, Lactobacillus/Pumpkin Fruit Ferment Filtrate,
Lactose, Leuconostoc/Radish Root Ferment Filtrate, Limonene, Maltodextrin, Pearl Powder, Phenoxyethanol, Sodium Benzoate, Sodium Metabisulfite, Vanilla Planifolia Fruit Extract,
Whey Protein"
ILUMA™ intense brightening eye crème;819984012141;IL-207;IMAGE Skincare;19;39,50 €;79,00 €;15 ml;"Eine aufhellende, stark feuchtigkeitsspendende Augencrème, speziell für die sensible Augenregion formuliert.
Reduziert merklich die sichtbaren Zeichen der Hautalterung, wie Schwellungen, dunkle Ringe, Falten und schlaffe Haut.
Phyto-Nährstoffe, Peptide und innovative, aufhellende Wirkstoffe helfen eine jugendliche, strahlende Haut aufzubauen
und zu erhalten. Die Augenpartie sieht sofort straffer, heller und strahlender aus.";Morgens und abends eine erbsengroße Menge mit der Fingerspitze auf die oberen Augenlider und unter die Augen auftragen.;"Water/Aqua/Eau, Glycerin, Dimethicone, Caprylic/Capric Triglyceride, Stearic Acid, Pentylene Glycol, Propanediol, Squalane, Butyrospermum Parkii (Shea) Butter, Isononyl Isononanoate,
Cetearyl Alcohol, Glyceryl Stearate, Peg-100 Stearate, Butylene Glycol, Phenoxyethanol, Dimethicone Crosspolymer, Soluble Collagen, Bellis Perennis (Daisy) Flower Extract, Citrus
Grandis (Grapefruit) Peel Oil, Limonene, Sucrose Palmitate, Albizia Julibrissin Bark Extract, Ceteareth-20, Acrylates/C10-30 Alkyl Acrylate Crosspolymer, Tocopheryl Acetate, Glyceryl
Linoleate, Hydrolyzed Rice Bran Protein, Malus Domestica Fruit Cell Culture Extract, Ethylhexylglycerin, Steareth-20, Hesperidin Methyl Chalcone, Tetrahexyldecyl Ascorbate, Sodium
Hydroxide, Natto Gum, Ascorbyl Glucoside, Olea Europaea (Olive) Leaf Extract, Zinc Pca, Potassium Sorbate, Citric Acid, Epilobium Angustifolium Flower/Leaf/Stem Extract, Sodium
Hyaluronate, Glycine Soja (Soybean) Protein, Leuconostoc/Radish Root Ferment Filtrate, Retinyl Palmitate, Superoxide Dismutase, Xanthan Gum, Sodium Benzoate, Biosaccharide
Gum-1, Sodium Citrate, Chlorhexidine Digluconate, Alcohol Denat., Phenethyl Alcohol, N-Hydroxysuccinimide, Lecithin, Cucumis Sativus (Cucumber) Fruit Extract, Magnesium Chloride,
Palmitoyl Dipeptide-5 Diaminobutyroyl Hydroxythreonine, Palmitoyl Tripeptide-5, Paullinia Cupana (Guarana) Seed Extract, Tetradecyl Aminobutyroylvalylaminobutyric Urea
Trifluoroacetate, Acetyl Tetrapeptide-5, Dipeptide-2, Sodium Dextran Sulfate, Citral, Darutoside, Disodium Phosphate, Glycyrrhiza Glabra (Licorice) Root Extract,
Melissa Officinalis (Lemon Balm) Leaf Extract, Tocopherol, Palmitoyl Tetrapeptide-7, Sodium Metabisulfite, Chrysin, Palmitoyl Tripeptide-1, Biotin."
ILUMA™ intense facial illuminator;819984016033;IL-208;IMAGE Skincare;19;37,00 €;74,00 €;30 ml;"Potenter Booster mit Tranexamsäure, Vitamin C und einem Antioxidantienpeptid zur Unterstützung der Reduktion von
Pigmentstörungen und dunklen Verfärbungen, sowie zum Ausgleich und zur Förderung eines ausgeglichenen Hauttons.";"Morgens und abends 3-5 Tropfen auf das gesamte Gesicht auftragen.
Unterstützt den Ausgleich eines ebenmäßigen Teints und unterstützt die Aufhellung von Pigmentstörungen.";"Aqua/Water/Eau, Oryza Sativa Bran Water, Pentylene Glycol, Tranexamic Acid, Glycerin, 3-O-Ethyl Ascorbic Acid, Niacinamide, Glycolic Acid, Phenoxyethanol, Sclerotium Gum,
Citrus Junos Seed Extract, Lactobacillus Ferment, Scutellaria Baicalensis Root Extract, Ethylhexylglycerin, Citrus Aurantium Dulcis (Orange) Peel Oil, Pelargonium Graveolens
(Geranium) Flower Oil, Limonene, Citronellol, Geraniol, Epilobium Angustifolium Flower/Leaf/Stem Extract, Caprylyl Glycol, Linalool, Sodium Hyaluronate, Camellia Sinensis Leaf Extract,
Glycyrrhiza Glabra (Licorice) Root Extract, Panax Ginseng Root Extract, Salix Nigra (Willow) Bark Extract, Citral, Acetyl Tetrapeptide-2, Sodium Metabisulfite."
CLEAR CELL clarifying salicylic gel cleanser;819984016507;CC-200;IMAGE Skincare;19;18,50 €;37,00 €;177 ml;"Ein auf Salicylsäure basierender Gelreiniger, der Make-up entfernt, überschüssige Öle eliminiert und abgestorbene Hautzellen
sanft abträgt. Die Haut wird spürbar geschmeidig und frei von Ölen.";"Morgens und abends eine geringe Menge auf das angefeuchtete Gesicht auftragen und 30 Sekunden einmassieren.
Mit kaltem Wasser entfernen.";"Aqua/Water/Eau, Glycerin, Ammonium Laureth Sulfate, Butylene Glycol, Ammonium Lauryl Sulfate, Cocamidopropyl Hydroxysultaine, Salicylic Acid, Hydroxypropyl Methylcellulose,
Phenoxyethanol, Sodium Hydroxide, Melia Azadirachta Leaf Extract, Caprylyl Glycol, Laureth-10, Ammonium Sulfate, Ethylhexylglycerin, Hexylene Glycol, Hamamelis Virginiana (Witch
Hazel) Water, Ammonium Chloride, Sodium Benzoate, Mentha Viridis Leaf Oil, Melaleuca Alternifolia (Tea Tree) Leaf Oil, Sodium Chloride, Arnica Montana Flower Extract, Eucalyptus
Globulus Leaf Oil, Alcohol, Cinnamomum Camphora (Camphor) Bark Oil, Glyoxal, Anthemis Nobilis Flower Extract, Aesculus Hippocastanum (Horse Chestnut) Extract, Maltodextrin,
Syringa Vulgaris (Lilac) Extract, Boswellia Serrata Extract, Mel Extract (Honey Extract), Oryza Sativa (Rice) Bran Extract, Oligopeptide-10."
