mainDetailNumber;name;mainDetailEAN;mainDetailweight;Purchaseprice;pseudoprice;purchaseunitdetail;Menge;description_long
PF0101SL300LA;Liquid Soap Marseille 300ml AROMATIC LAVENDER;3551780000256;300ml;9,00 €;18,00 €;6;3.0;Die Compagnie de Provence Liquid Marseille Soap Aromatic Lavender wird nach alter Tradition in einem Kessel verseift und ist mit pflanzlichen Ölen von lokalen Produzenten angereichert. Sie verwandelt sich in einen leichten und cremigen Schaum, der die Haut sanft reinigt. Eigenschaften der Compagnie de Provence Liquid Marseille Soap Aromatic Lavender Mit dem aromatischen Duft von Lavendel Formel mit mindestens 95% der Inhaltsstoffe aus natürlichen Ursprung Mit Pflanzenölen wie Oliven-, Traubenkern- & Süßmandelöl aus Frankreich Traditionell hergestellt Für häufiges Händewaschen geeignet Anwendung der Compagnie de Provence Liquid Marseille Soap Auf die feuchte Haut auftragen, sanft reiben und gründlich abspülen. Auch für die Körperreinigung geeignet. Bei Kontakt mit den Augen, diese gründlich ausspüen. Nur zur äußerlichen Anwendung. Über Compagnie de Provence 1990 haben sich zwei Freunde aus Marseille zusammen getan und Compagnie de Provence gegründet. Das Ziel war es die traditionelle Marseiller Seife, den lokalen Schatz, mit der ganzen Welt zu teilen. Die authentische Marseiller Seife ist aus pflanzlichen Ölen und frei von Farbstoffen und synthetischen Zusätzen. Sie ist für Hände und Körper geeignet, aber auch zum Reinigen von Böden oder Wäsche. Inspiriert von den Vorteilen der ikonischen Seife, stellt Compagnie De Provence Produkte für den täglichen Gebrauch mit simplen, natürlichen und effektiven Inhaltsstoffen her.
PF0101SL300FI;Liquid Soap Marseille 300ml FIG OF PROVENCE;3551780000232;300ml;9,00 €;18,00 €;6;3.0;Die nach traditionellen Methoden gefertigte Liquid Marseille Soap Fig of Provence von La Compagnie de Provence zhlt zu den Flssigseifen der besonderen Art. Die Flssigseife ist mit verschiedenen len angereichert und berzeugt gleichzeitig mit einer sen, fruchtigen Note nach frischer Feige. Zu den Inhaltsstoffen zhlt zum Beispiel feines Smandell aus der Provence, das die Haut vor dem Austrocknen schtzt. Kokosl aus getrocknetem Fruchtfleisch sorgt fr eine cremige Textur und wirkt pflegend und schtzend. Das verwendete Traubenkernl ist reich an Omega-6-Suren und schtzt die Haut der Hnde vor vorzeitiger Alterung.Flssigseifen aus der Provence zur nachhaltigen Reinigung und PflegeDie Liquid Marseille Soap Fig of Provence wird von La Compagnie de Provence in einer praktischen PET-Pumpflasche prsentiert, die nachfllbar ist. Fr die Reinigung der Hnde sind ein oder zwei Pumpste ausreichend. Die Flssigseife bildet in Verbindung mit lauwarmem Wasser einen feinen Schaum, der herrlich s duftet. Die Handseife ist auch fr die tgliche Krperpflege geeignet. Die Liquid Marseille Soap Fig of Provence von La Compagnie de Provence besteht zu mindestens 95 Prozent aus natrlichen Inhaltsstoffen. Die Flssigseife ist fr alle normalen Hauttypen geeignet.
PF0101SL300RO;Liquid Soap Marseille 300ml WILD ROSE;3551780000294;300ml;9,00 €;18,00 €;6;3.0;Die Compagnie de Provence Liquid Marseille Soap Wild Rose wird nach alter Tradition in einem Kessel verseift und ist mit pflanzlichen Ölen von lokalen Produzenten angereichert. Sie verwandelt sich in einen leichten und cremigen Schaum, der die Haut sanft reinigt. Eigenschaften der Compagnie de Provence Liquid Marseille Soap Wild Rose Mit dem sinnlichen Duft von Rosen Formel mit mindestens 95% der Inhaltsstoffe aus natürlichen Ursprung Mit Pflanzenölen wie Oliven-, Traubenkern- & Süßmandelöl aus Frankreich Traditionell hergestellt Für häufiges Händewaschen geeignet Anwendung der Compagnie de Provence Liquid Marseille Soap Auf die feuchte Haut auftragen, sanft reiben und gründlich abspülen. Auch für die Körperreinigung geeignet. Bei Kontakt mit den Augen, diese gründlich ausspüen. Nur zur äußerlichen Anwendung. Über Compagnie de Provence 1990 haben sich zwei Freunde aus Marseille zusammen getan und Compagnie de Provence gegründet. Das Ziel war es die traditionelle Marseiller Seife, den lokalen Schatz, mit der ganzen Welt zu teilen. Die authentische Marseiller Seife ist aus pflanzlichen Ölen und frei von Farbstoffen und synthetischen Zusätzen. Sie ist für Hände und Körper geeignet, aber auch zum Reinigen von Böden oder Wäsche. Inspiriert von den Vorteilen der ikonischen Seife, stellt Compagnie De Provence Produkte für den täglichen Gebrauch mit simplen, natürlichen und effektiven Inhaltsstoffen her.
PF0101SL300VE;Liquid Soap Marseille 300ml FRESH VERBENA;3551780000300;300ml;9,00 €;18,00 €;6;3.0;Die Compagnie de Provence Liquid Marseille Soap Fresh Verbena wird nach alter Tradition in einem Kessel verseift und ist mit pflanzlichen Ölen von lokalen Produzenten angereichert. Sie verwandelt sich in einen leichten und cremigen Schaum, der die Haut sanft reinigt. Eigenschaften der Compagnie de Provence Liquid Marseille Soap Fresh Verbena Mit dem frischen, zitronigen Duft von Verbena Formel mit mindestens 95% der Inhaltsstoffe aus natürlichen Ursprung Mit Pflanzenölen wie Oliven-, Traubenkern- & Süßmandelöl aus Frankreich Traditionell hergestellt Für häufiges Händewaschen geeignet Anwendung der Compagnie de Provence Liquid Marseille Soap Auf die feuchte Haut auftragen, sanft reiben und gründlich abspülen. Auch für die Körperreinigung geeignet. Bei Kontakt mit den Augen, diese gründlich ausspüen. Nur zur äußerlichen Anwendung. Über Compagnie de Provence 1990 haben sich zwei Freunde aus Marseille zusammen getan und Compagnie de Provence gegründet. Das Ziel war es die traditionelle Marseiller Seife, den lokalen Schatz, mit der ganzen Welt zu teilen. Die authentische Marseiller Seife ist aus pflanzlichen Ölen und frei von Farbstoffen und synthetischen Zusätzen. Sie ist für Hände und Körper geeignet, aber auch zum Reinigen von Böden oder Wäsche. Inspiriert von den Vorteilen der ikonischen Seife, stellt Compagnie De Provence Produkte für den täglichen Gebrauch mit simplen, natürlichen und effektiven Inhaltsstoffen her.
PF0101SL300PA;Liquid Soap Marseille 300ml PINK GRAPEFRUIT;3551780000287;300ml;9,00 €;18,00 €;6;3.0;Die Compagnie de Provence Liquid Marseille Soap Pink Grapefruit wird nach alter Tradition in einem Kessel verseift und ist mit pflanzlichen Ölen von lokalen Produzenten angereichert. Sie verwandelt sich in einen leichten und cremigen Schaum, der die Haut sanft reinigt. Eigenschaften der Compagnie de Provence Liquid Marseille Soap Pink Grapefruit Mit dem frischen, fruchtigen Duft von pinker Grapefruit Formel mit mindestens 95% der Inhaltsstoffe aus natürlichen Ursprung Mit Pflanzenölen wie Oliven-, Traubenkern- & Süßmandelöl aus Frankreich Traditionell hergestellt Für häufiges Händewaschen geeignet Anwendung der Compagnie de Provence Liquid Marseille Soap Auf die feuchte Haut auftragen, sanft reiben und gründlich abspülen. Auch für die Körperreinigung geeignet. Bei Kontakt mit den Augen, diese gründlich ausspüen. Nur zur äußerlichen Anwendung. Über Compagnie de Provence 1990 haben sich zwei Freunde aus Marseille zusammen getan und Compagnie de Provence gegründet. Das Ziel war es die traditionelle Marseiller Seife, den lokalen Schatz, mit der ganzen Welt zu teilen. Die authentische Marseiller Seife ist aus pflanzlichen Ölen und frei von Farbstoffen und synthetischen Zusätzen. Sie ist für Hände und Körper geeignet, aber auch zum Reinigen von Böden oder Wäsche. Inspiriert von den Vorteilen der ikonischen Seife, stellt Compagnie De Provence Produkte für den täglichen Gebrauch mit simplen, natürlichen und effektiven Inhaltsstoffen her.
PF0101SL300CO;Liquid Soap Marseille 300ml COTTON FLOWER;3551780000225;300ml;9,00 €;18,00 €;6;3.0;Sanfte Reinigung mit der Liquid Marseille Soap Cotton FlowerAlte Handwerkstradition trifft modernes Design: Die Flssigseifen des franzsischen Unternehmens werden noch nach alter Tradition im Kessel verseift und mit pflanzlichen len angereichert. Die flssige Seife Liquid Marseille Soap Cotton Flower verwandelt sich in einen cremigen, leichten Schaum, der angenehm nach Mandel duftet. Bei seinen Inhaltsstoffen setzt La Compagnie de Provence auf hochwertige Pflanzenle von lokalen Produzenten. So kommen das Smandell, das Olivenl und das Traubenkernl aus Frankreich. Ein absoluter Hingucker ist die stilvolle Pumpflasche aus Glas, die in Bad oder Kche toll aussieht. Die Flssigseifen fr die Reinigung sensibler Haut knnen fr das tgliche Hndewaschen verwendet werden. Sie sind in vielen Duftvariationen erhltlich, wie zum Beispiel Orange Blossom, Pink Grapefruit, Mimosa Flower und vielen anderen. La Compagnie de Provence: Aus Liebe zur SeifeDas franzsische Unternehmen wurde im Jahr 1990 von zwei Freunden als Hommage an die bekannte Marseiller Seife aus pflanzlichen len gegrndet. Diese traditionelle Seife ist frei von synthetischen Zustzen und Farbstoffen. Sie kann nicht nur fr die Hnde, sondern auch fr den Krper sowie zum Reinigen von Bden verwendet werden.
PF0101SL300BO;Liquid Soap Marseille 300ml OLIVE WOOD;3551780000218;300ml;9,00 €;18,00 €;6;3.0;Die Compagnie de Provence Liquid Marseille Soap Olive Wood wird nach alter Tradition in einem Kessel verseift und ist mit pflanzlichen Ölen von lokalen Produzenten angereichert. Sie verwandelt sich in einen leichten und cremigen Schaum der die Haut sanft reinigt. Eigenschaften der Compagnie de Provence Liquid Marseille Soap Olive Wood Mit dem sinnlichem holzigen Duft von Olivenholz Formel mit mindestens 95% der Inhaltsstoffe aus natürlichen Ursprung Mit Pflanzenölen wie Oliven- Traubenkern- & Süßmandelöl aus Frankreich Traditionell hergestellt Für häufiges Händewaschen geeignet Anwendung der Compagnie de Provence Liquid Marseille Soap Auf die feuchte Haut auftragen sanft reiben und gründlich abspülen. Auch für die Körperreinigung geeignet. Bei Kontakt mit den Augen diese gründlich ausspüen. Nur zur äußerlichen Anwendung. Über Compagnie de Provence 1990 haben sich zwei Freunde aus Marseille zusammen getan und Compagnie de Provence gegründet. Das Ziel war es die traditionelle Marseiller Seife den lokalen Schatz mit der ganzen Welt zu teilen. Die authentische Marseiller Seife ist aus pflanzlichen Ölen und frei von Farbstoffen und synthetischen Zusätzen. Sie ist für Hände und Körper geeignet aber auch zum Reinigen von Böden oder Wäsche. Inspiriert von den Vorteilen der ikonischen Seife stellt Compagnie De Provence Produkte für den täglichen Gebrauch mit simplen natürlichen und effektiven Inhaltsstoffen her.
PF0101SL500RV;Liquid Soap Marseille 495ml REVITALIZING ROSEMARY;3551780007712;495ml;12,50 €;25,00 €;6;3.0;Compagnie de Provence Savon Liquide Romarin Vitamine ist eine flüssige Handseife. Angereichert mit pflanzlichen Ölen. Unter anderem süßes Mandelöl, Kokosöl und Traubenkernöl. Die Seife verwandelt sich in einen feinen Schaum der die Haut sanft reinigt. Der Handseife ist sulfatfrei. Die 300 ml sind in einer recycelbaren Pumpflasche verpackt, die praktisch und unzerbrechlich ist. Die 500 ml sind in einer luxuriösen Glasflasche verpackt.
PF0101SL500ME;Liquid Soap Marseille 495ml MEDITERRANEAN SEA;3551780000164;495ml;12,50 €;25,00 €;6;3.0;Die Compagnie de Provence Liquid Marseille Soap Mediterranean Sea wird nach alter Tradition in einem Kessel verseift und ist mit pflanzlichen Ölen von lokalen Produzenten angereichert. Sie verwandelt sich in einen leichten und cremigen Schaum der die Haut sanft reinigt. Eigenschaften der Compagnie de Provence Liquid Marseille Soap Mediterranean Sea Mit dem frischen Duft des Mittelmeers Formel mit mindestens 95% der Inhaltsstoffe aus natürlichen Ursprung Mit Pflanzenölen wie Oliven- Traubenkern- & Süßmandelöl aus Frankreich Traditionell hergestellt Für häufiges Händewaschen geeignet Anwendung der Compagnie de Provence Liquid Marseille Soap Auf die feuchte Haut auftragen sanft reiben und gründlich abspülen. Auch für die Körperreinigung geeignet. Bei Kontakt mit den Augen diese gründlich ausspüen. Nur zur äußerlichen Anwendung. Über Compagnie de Provence 1990 haben sich zwei Freunde aus Marseille zusammen getan und Compagnie de Provence gegründet. Das Ziel war es die traditionelle Marseiller Seife den lokalen Schatz mit der ganzen Welt zu teilen. Die authentische Marseiller Seife ist aus pflanzlichen Ölen und frei von Farbstoffen und synthetischen Zusätzen. Sie ist für Hände und Körper geeignet aber auch zum Reinigen von Böden oder Wäsche. Inspiriert von den Vorteilen der ikonischen Seife stellt Compagnie De Provence Produkte für den täglichen Gebrauch mit simplen natürlichen und effektiven Inhaltsstoffen her.
PF0101SL500LA;Liquid Soap Marseille 495ml AROMATIC LAVENDER;3551780000157;495ml;12,50 €;25,00 €;6;3.0;Die flüssige Seife von Compagnie de Provence wird traditionell durch die Verseifung in einem Kessel hergestellt, wie schon ihr Vorfahre, der ikonische Seifenwürfel aus Marseille. Die Liquid Marseille Soap Aromatic Lavender verwandelt sich bei Kontakt mit Wasser in einen cremigen Schaum, der die Haut mit Oliven und Süßmandelöl aus der Provence und Traubenkernöl aus Frankreich effektiv reinigt. Die ultrasanfte Formel mit beruhigendem Lavendelduft eignet sich nicht nur optimal zum häufigen Händewaschen, sie kann auch hervorragend für die Reinigung des gesamten Körpers verwendet werden. Die Flüssigseife präsentiert sich in einer eleganten und farbenfrohen Pumpflasche aus Glas, ein echter Hingucker in Badezimmer und Küche. Sale | Sale jetzt versandkostenfrei bei Zalando.de bestellen! Größe: 500 ml. Farbe: Aromatic lavender. Geschlecht: Damen. Altersgruppe: Erwachsene.
PF0101SL500FI;Liquid Soap Marseille 495ml FIG OF PROVENCE;3551780000133;495ml;12,50 €;25,00 €;6;3.0;Die nach traditionellen Methoden gefertigte Liquid Marseille Soap Fig of Provence von La Compagnie de Provence zhlt zu den Flssigseifen der besonderen Art. Die Flssigseife ist mit verschiedenen len angereichert und berzeugt gleichzeitig mit einer sen, fruchtigen Note nach frischer Feige. Zu den Inhaltsstoffen zhlt zum Beispiel feines Smandell aus der Provence, das die Haut vor dem Austrocknen schtzt. Kokosl aus getrocknetem Fruchtfleisch sorgt fr eine cremige Textur und wirkt pflegend und schtzend. Das verwendete Traubenkernl ist reich an Omega-6-Suren und schtzt die Haut der Hnde vor vorzeitiger Alterung.Flssigseifen aus der Provence zur nachhaltigen Reinigung und PflegeDie Liquid Marseille Soap Fig of Provence wird von La Compagnie de Provence in einer praktischen PET-Pumpflasche prsentiert, die nachfllbar ist. Fr die Reinigung der Hnde sind ein oder zwei Pumpste ausreichend. Die Flssigseife bildet in Verbindung mit lauwarmem Wasser einen feinen Schaum, der herrlich s duftet. Die Handseife ist auch fr die tgliche Krperpflege geeignet. Die Liquid Marseille Soap Fig of Provence von La Compagnie de Provence besteht zu mindestens 95 Prozent aus natrlichen Inhaltsstoffen. Die Flssigseife ist fr alle normalen Hauttypen geeignet.
PF0101SL500RO;Liquid Soap Marseille 495ml WILD ROSE;3551780000195;495ml;12,50 €;25,00 €;6;3.0;Die Compagnie de Provence Liquid Marseille Soap Wild Rose wird nach alter Tradition in einem Kessel verseift und ist mit pflanzlichen Ölen von lokalen Produzenten angereichert. Sie verwandelt sich in einen leichten und cremigen Schaum, der die Haut sanft reinigt. Eigenschaften der Compagnie de Provence Liquid Marseille Soap Wild Rose Mit dem sinnlichen Duft von Rosen Formel mit mindestens 95% der Inhaltsstoffe aus natürlichen Ursprung Mit Pflanzenölen wie Oliven-, Traubenkern- & Süßmandelöl aus Frankreich Traditionell hergestellt Für häufiges Händewaschen geeignet Anwendung der Compagnie de Provence Liquid Marseille Soap Auf die feuchte Haut auftragen, sanft reiben und gründlich abspülen. Auch für die Körperreinigung geeignet. Bei Kontakt mit den Augen, diese gründlich ausspüen. Nur zur äußerlichen Anwendung. Über Compagnie de Provence 1990 haben sich zwei Freunde aus Marseille zusammen getan und Compagnie de Provence gegründet. Das Ziel war es die traditionelle Marseiller Seife, den lokalen Schatz, mit der ganzen Welt zu teilen. Die authentische Marseiller Seife ist aus pflanzlichen Ölen und frei von Farbstoffen und synthetischen Zusätzen. Sie ist für Hände und Körper geeignet, aber auch zum Reinigen von Böden oder Wäsche. Inspiriert von den Vorteilen der ikonischen Seife, stellt Compagnie De Provence Produkte für den täglichen Gebrauch mit simplen, natürlichen und effektiven Inhaltsstoffen her.
PF0101SL500VE;Liquid Soap Marseille 495ml FRESH VERBENA;3551780000201;495ml;12,50 €;25,00 €;6;3.0;Die flüssige Seife von Compagnie de Provence wird traditionell durch die Verseifung in einem Kessel hergestellt, wie schon ihr Vorfahre, der ikonische Seifenwürfel aus Marseille. Die Liquid Marseille Soap Fresh Verbena verwandelt sich bei Kontakt mit Wasser in einen cremigen Schaum, der die Haut mit pflanzlichen Ölen wie Oliven und Süßmandelöl aus der Provence und Traubenkernöl aus Frankreich effektiv reinigt. Die ultrasanfte Formel mit dem Duft von frischem, zitronigem Eisenkraut eignet sich optimal zum häufigen Händewaschen und für die Reinigung des gesamten Körpers. Die Flüssigseife präsentiert sich in einer eleganten und farbenfrohen Pumpflasche aus Glas, ein echter Hingucker in Badezimmer und Küche. Beauty | Beauty jetzt versandkostenfrei bei Zalando.de bestellen! Größe: 500 ml. Farbe: Fresh verbena. Geschlecht: Damen. Altersgruppe: Erwachsene.
PF0101SL500PA;Liquid Soap Marseille 495ml PINK GRAPEFRUIT;3551780000188;495ml;12,50 €;25,00 €;6;3.0;Die Compagnie de Provence Liquid Marseille Soap Pink Grapefruit wird nach alter Tradition in einem Kessel verseift und ist mit pflanzlichen Ölen von lokalen Produzenten angereichert. Sie verwandelt sich in einen leichten und cremigen Schaum, der die Haut sanft reinigt. Eigenschaften der Compagnie de Provence Liquid Marseille Soap Pink Grapefruit Mit dem frischen, fruchtigen Duft von pinker Grapefruit Formel mit mindestens 95% der Inhaltsstoffe aus natürlichen Ursprung Mit Pflanzenölen wie Oliven-, Traubenkern- & Süßmandelöl aus Frankreich Traditionell hergestellt Für häufiges Händewaschen geeignet Anwendung der Compagnie de Provence Liquid Marseille Soap Auf die feuchte Haut auftragen, sanft reiben und gründlich abspülen. Auch für die Körperreinigung geeignet. Bei Kontakt mit den Augen, diese gründlich ausspüen. Nur zur äußerlichen Anwendung. Über Compagnie de Provence 1990 haben sich zwei Freunde aus Marseille zusammen getan und Compagnie de Provence gegründet. Das Ziel war es die traditionelle Marseiller Seife, den lokalen Schatz, mit der ganzen Welt zu teilen. Die authentische Marseiller Seife ist aus pflanzlichen Ölen und frei von Farbstoffen und synthetischen Zusätzen. Sie ist für Hände und Körper geeignet, aber auch zum Reinigen von Böden oder Wäsche. Inspiriert von den Vorteilen der ikonischen Seife, stellt Compagnie De Provence Produkte für den täglichen Gebrauch mit simplen, natürlichen und effektiven Inhaltsstoffen her.
PF0101SL500CO;Liquid Soap Marseille 495ml COTTON FLOWER;3551780000126;495ml;12,50 €;25,00 €;6;3.0;Die flüssige Seife von Compagnie de Provence wird traditionell durch die Verseifung in einem Kessel hergestellt, wie schon ihr Vorfahre, der ikonische Seifenwürfel aus Marseille. Die Liquid Marseille Soap Cotton Flower verwandelt sich bei Kontakt mit Wasser in einen cremigen Schaum, der die Haut mit Oliven und Süßmandelöl aus der Provence und Traubenkernöl aus Frankreich effektiv reinigt. Die ultrasanfte Formel eignet sich nicht nur optimal zum häufigen Händewaschen, sie kann auch hervorragend für die Reinigung des gesamten Körpers verwendet werden. Der blumige, zarte und pudrige Duft der Seife umhüllt die Sinne und erinnert auf wunderbare Weise an die einzigartige Weichheit von Baumwolle. Liquid Marseille Soap Cotton Flower präsentiert sich in einer eleganten und farbenfrohen Pumpflasche aus Glas, ein echter Hingucker in Badezimmer und Küche. Beauty | Beauty jetzt versandkostenfrei bei Zalando.de bestellen! Größe: 500 ml. Farbe: Cotton flower. Geschlecht: Damen. Altersgruppe: Erwachsene.
PF0101SL500BO;Liquid Soap Marseille 495ml OLIVE WOOD;3551780000119;495ml;12,50 €;25,00 €;6;3.0;Die Compagnie de Provence Liquid Marseille Soap Olive Wood wird nach alter Tradition in einem Kessel verseift und ist mit pflanzlichen Ölen von lokalen Produzenten angereichert. Sie verwandelt sich in einen leichten und cremigen Schaum, der die Haut sanft reinigt. Eigenschaften der Compagnie de Provence Liquid Marseille Soap Olive Wood Mit dem sinnlichen, holzigen Duft von Olivenholz Formel mit mindestens 95% der Inhaltsstoffe aus natürlichen Ursprung Mit Pflanzenölen wie Oliven-, Traubenkern- & Süßmandelöl aus Frankreich Traditionell hergestellt Für häufiges Händewaschen geeignet Anwendung der Compagnie de Provence Liquid Marseille Soap Auf die feuchte Haut auftragen, sanft reiben und gründlich abspülen. Auch für die Körperreinigung geeignet. Bei Kontakt mit den Augen, diese gründlich ausspüen. Nur zur äußerlichen Anwendung. Über Compagnie de Provence 1990 haben sich zwei Freunde aus Marseille zusammen getan und Compagnie de Provence gegründet. Das Ziel war es die traditionelle Marseiller Seife, den lokalen Schatz, mit der ganzen Welt zu teilen. Die authentische Marseiller Seife ist aus pflanzlichen Ölen und frei von Farbstoffen und synthetischen Zusätzen. Sie ist für Hände und Körper geeignet, aber auch zum Reinigen von Böden oder Wäsche. Inspiriert von den Vorteilen der ikonischen Seife, stellt Compagnie De Provence Produkte für den täglichen Gebrauch mit simplen, natürlichen und effektiven Inhaltsstoffen her.
PF0101SL01LRV;Liquid Soap Marseille 1L Refill REVITALIZING ROSEMARY;3551780007705;1000ml;17,00 €;34,00 €;6;nan;Compagnie de Provence Savon Liquide Romarin Vitamine ist eine flüssige Handseife. Angereichert mit pflanzlichen Ölen. Unter anderem süßes Mandelöl, Kokosöl und Traubenkernöl. Die Seife verwandelt sich in einen feinen Schaum der die Haut sanft reinigt. Dies ist eine Nachfüllverpackung.
PF0101SL01LME;Liquid Soap Marseille 1L Refill MEDITERRANEAN SEA;3551780000065;1000 ml;17,00 €;34,00 €;6;nan;Die Compagnie de Provence Liquid Marseille Soap Mediterranean Sea wird nach alter Tradition in einem Kessel verseift und ist mit pflanzlichen Ölen von lokalen Produzenten angereichert. Sie verwandelt sich in einen leichten und cremigen Schaum, der die Haut sanft reinigt. Eigenschaften der Compagnie de Provence Liquid Marseille Soap Mediterranean Sea Mit dem frischen Duft des Mittelmeers Formel mit mindestens 95% der Inhaltsstoffe aus natürlichen Ursprung Mit Pflanzenölen wie Oliven-, Traubenkern- & Süßmandelöl aus Frankreich Traditionell hergestellt Für häufiges Händewaschen geeignet Anwendung der Compagnie de Provence Liquid Marseille Soap Auf die feuchte Haut auftragen, sanft reiben und gründlich abspülen. Auch für die Körperreinigung geeignet. Bei Kontakt mit den Augen, diese gründlich ausspüen. Nur zur äußerlichen Anwendung. Über Compagnie de Provence 1990 haben sich zwei Freunde aus Marseille zusammen getan und Compagnie de Provence gegründet. Das Ziel war es die traditionelle Marseiller Seife, den lokalen Schatz, mit der ganzen Welt zu teilen. Die authentische Marseiller Seife ist aus pflanzlichen Ölen und frei von Farbstoffen und synthetischen Zusätzen. Sie ist für Hände und Körper geeignet, aber auch zum Reinigen von Böden oder Wäsche. Inspiriert von den Vorteilen der ikonischen Seife, stellt Compagnie De Provence Produkte für den täglichen Gebrauch mit simplen, natürlichen und effektiven Inhaltsstoffen her.
PF0101SL01LLA;Liquid Soap Marseille 1L Refill AROMATIC LAVENDER;3551780000058;1000 ml;17,00 €;34,00 €;6;nan;Die Compagnie de Provence Liquid Marseille Soap Aromatic Lavender wird nach alter Tradition in einem Kessel verseift und ist mit pflanzlichen Ölen von lokalen Produzenten angereichert. Sie verwandelt sich in einen leichten und cremigen Schaum, der die Haut sanft reinigt. Eigenschaften der Compagnie de Provence Liquid Marseille Soap Aromatic Lavender Mit dem aromatischen Duft von Lavendel Formel mit mindestens 95% der Inhaltsstoffe aus natürlichen Ursprung Mit Pflanzenölen wie Oliven-, Traubenkern- & Süßmandelöl aus Frankreich Traditionell hergestellt Für häufiges Händewaschen geeignet Anwendung der Compagnie de Provence Liquid Marseille Soap Auf die feuchte Haut auftragen, sanft reiben und gründlich abspülen. Auch für die Körperreinigung geeignet. Bei Kontakt mit den Augen, diese gründlich ausspüen. Nur zur äußerlichen Anwendung. Über Compagnie de Provence 1990 haben sich zwei Freunde aus Marseille zusammen getan und Compagnie de Provence gegründet. Das Ziel war es die traditionelle Marseiller Seife, den lokalen Schatz, mit der ganzen Welt zu teilen. Die authentische Marseiller Seife ist aus pflanzlichen Ölen und frei von Farbstoffen und synthetischen Zusätzen. Sie ist für Hände und Körper geeignet, aber auch zum Reinigen von Böden oder Wäsche. Inspiriert von den Vorteilen der ikonischen Seife, stellt Compagnie De Provence Produkte für den täglichen Gebrauch mit simplen, natürlichen und effektiven Inhaltsstoffen her.
PF0101SL01LFI;Liquid Soap Marseille 1L Refill FIG OF PROVENCE;3551780000034;1000 ml;17,00 €;34,00 €;6;nan;Die nach traditionellen Methoden gefertigte Liquid Marseille Soap Fig of Provence von La Compagnie de Provence zählt zu den Flüssigseifen der besonderen Art. Die Flüssigseife ist mit verschiedenen Ölen angereichert und überzeugt gleichzeitig mit einer süßen, fruchtigen Note nach frischer Feige. Zu den Inhaltsstoffen zählt zum Beispiel feines Süßmandelöl aus der Provence, das die Haut vor dem Austrocknen schützt. Kokosöl aus getrocknetem Fruchtfleisch sorgt für eine cremige Textur und wirkt pflegend und schützend. Das verwendete Traubenkernöl ist reich an Omega-6-Säuren und schützt die Haut der Hände vor vorzeitiger Alterung.Flüssigseifen aus der Provence zur nachhaltigen Reinigung und PflegeDie Liquid Marseille Soap Fig of Provence wird von La Compagnie de Provence in einer praktischen PET-Pumpflasche präsentiert, die nachfüllbar ist. Für die Reinigung der Hände sind ein oder zwei Pumpstöße ausreichend. Die Flüssigseife bildet in Verbindung mit lauwarmem Wasser einen feinen Schaum, der herrlich süß duftet. Die Handseife ist auch für die tägliche Körperpflege geeignet. Die Liquid Marseille Soap Fig of Provence von La Compagnie de Provence besteht zu mindestens 95 Prozent aus natürlichen Inhaltsstoffen. Die Flüssigseife ist für alle normalen Hauttypen geeignet.
PF0101SL01LRO;Liquid Soap Marseille 1L Refill WILD ROSE;3551780000096;1000 ml;17,00 €;34,00 €;6;nan;Die Compagnie de Provence Liquid Marseille Soap Wild Rose wird nach alter Tradition in einem Kessel verseift und ist mit pflanzlichen Ölen von lokalen Produzenten angereichert. Sie verwandelt sich in einen leichten und cremigen Schaum, der die Haut sanft reinigt. Eigenschaften der Compagnie de Provence Liquid Marseille Soap Wild Rose Mit dem sinnlichen Duft von Rosen Formel mit mindestens 95% der Inhaltsstoffe aus natürlichen Ursprung Mit Pflanzenölen wie Oliven-, Traubenkern- & Süßmandelöl aus Frankreich Traditionell hergestellt Für häufiges Händewaschen geeignet Anwendung der Compagnie de Provence Liquid Marseille Soap Auf die feuchte Haut auftragen, sanft reiben und gründlich abspülen. Auch für die Körperreinigung geeignet. Bei Kontakt mit den Augen, diese gründlich ausspüen. Nur zur äußerlichen Anwendung. Über Compagnie de Provence 1990 haben sich zwei Freunde aus Marseille zusammen getan und Compagnie de Provence gegründet. Das Ziel war es die traditionelle Marseiller Seife, den lokalen Schatz, mit der ganzen Welt zu teilen. Die authentische Marseiller Seife ist aus pflanzlichen Ölen und frei von Farbstoffen und synthetischen Zusätzen. Sie ist für Hände und Körper geeignet, aber auch zum Reinigen von Böden oder Wäsche. Inspiriert von den Vorteilen der ikonischen Seife, stellt Compagnie De Provence Produkte für den täglichen Gebrauch mit simplen, natürlichen und effektiven Inhaltsstoffen her.
